"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"X","integer",630,0,630,315.5,315.5,315.5,NA,182.00961513063,NA,1,630,629,0,0,-1.20571577826411,-3.1009211093063,NA,NA
"caseID","integer",630,0,630,315.5,315.5,315.5,NA,182.00961513063,NA,1,630,629,0,0,-1.20571577826411,-3.1009211093063,NA,NA
"gender","integer",630,0,2,1.50952380952381,2,2,NA,0.500306515178584,NA,1,2,1,-0.0380114672799776,-0.195213465967405,-2.00172491491026,-5.14813785766838,NA,NA
"age","integer",630,0,8,13.2619047619048,13,13,NA,1.71024487795889,NA,10,17,7,0.136486721653631,0.700947579747033,-1.06519721231032,-2.73952832066508,NA,NA
"anxious","integer",630,0,28,4.97301587301587,4,4,NA,4.66365394894931,NA,0,32,32,1.74065273449357,8.93937744742408,4.52721684149875,11.6433263321991,NA,NA
"socprob","numeric",630,0,30,2.32460255128299,2,2,NA,2.01123515867731,NA,0,14,14,1.28366306061685,6.59243994323098,2.60685584600357,6.70444433714648,NA,NA
